match_id,match_date,year,opponent,tournament,venue_type,goals_for,goals_against,goal_difference,result
10862,1977-02-22,1977,Hungary,Friendly,Home,1,1,0,Draw
6666,1966-06-19,1966,Switzerland,Friendly,Away,1,1,0,Draw
10291,1975-08-31,1975,Argentina,Friendly,Home,1,1,0,Draw
19512,1994-01-19,1994,Bulgaria,Friendly,Neutral,1,1,0,Draw
34724,2011-05-28,2011,Ecuador,Friendly,Neutral,1,1,0,Draw
49233,2026-03-31,2026,Belgium,Friendly,Neutral,1,1,0,Draw
17856,1991-07-02,1991,Honduras,Gold Cup,Neutral,1,1,0,Draw
29026,2005-02-23,2005,Colombia,Friendly,Home,1,1,0,Draw
18421,1992-08-19,1992,Bulgaria,Friendly,Away,1,1,0,Draw
18039,1991-11-20,1991,Uruguay,Friendly,Home,1,1,0,Draw
18689,1992-12-13,1992,Honduras,FIFA World Cup qualification,Away,1,1,0,Draw
24200,2000-02-17,2000,Guatemala,Gold Cup,Neutral,1,1,0,Draw
39877,2016-06-13,2016,Venezuela,Copa América,Neutral,1,1,0,Draw
12349,1980-08-26,1980,Australia,Friendly,Away,1,1,0,Draw
34683,2011-03-29,2011,Venezuela,Friendly,Neutral,1,1,0,Draw
4219,1956-02-26,1956,Costa Rica,Pan American Championship,Home,1,1,0,Draw
14843,1985-06-02,1985,Italy,Friendly,Home,1,1,0,Draw
22674,1998-03-18,1998,Paraguay,Friendly,Home,1,1,0,Draw
7583,1969-01-05,1969,Italy,Friendly,Home,1,1,0,Draw
8458,1971-07-06,1971,Greece,Friendly,Home,1,1,0,Draw
15071,1985-11-17,1985,Argentina,Friendly,Home,1,1,0,Draw
6703,1966-07-13,1966,France,FIFA World Cup,Neutral,1,1,0,Draw
40980,2017-09-05,2017,Costa Rica,FIFA World Cup qualification,Away,1,1,0,Draw
15208,1986-03-06,1986,Denmark,Friendly,Neutral,1,1,0,Draw
19293,1993-08-08,1993,Brazil,Friendly,Away,1,1,0,Draw
36219,2012-09-11,2012,Costa Rica,FIFA World Cup qualification,Home,1,0,1,Win
24139,2000-02-05,2000,Japan,Lunar New Year Cup,Neutral,1,0,1,Win
8083,1970-06-11,1970,Belgium,FIFA World Cup,Home,1,0,1,Win
49273,2026-05-30,2026,Australia,Friendly,Neutral,1,0,1,Win
