match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_key
38718,2015-06-07,Brazil,Mexico,2.0,0.0,Friendly,São Paulo,Brazil,False,2015-06-07|Brazil|Mexico|Friendly|2.0|0.0|São Paulo
38776,2015-06-12,Mexico,Bolivia,0.0,0.0,Copa América,Viña del Mar,Chile,True,2015-06-12|Mexico|Bolivia|Copa América|0.0|0.0|Viña del Mar
38832,2015-06-15,Chile,Mexico,3.0,3.0,Copa América,Santiago,Chile,False,2015-06-15|Chile|Mexico|Copa América|3.0|3.0|Santiago
38867,2015-06-19,Mexico,Ecuador,1.0,2.0,Copa América,Rancagua,Chile,True,2015-06-19|Mexico|Ecuador|Copa América|1.0|2.0|Rancagua
38883,2015-06-27,Mexico,Costa Rica,2.0,2.0,Friendly,Orlando,United States,True,2015-06-27|Mexico|Costa Rica|Friendly|2.0|2.0|Orlando
38910,2015-07-01,Honduras,Mexico,0.0,0.0,Friendly,Houston,United States,True,2015-07-01|Honduras|Mexico|Friendly|0.0|0.0|Houston
38928,2015-07-09,Mexico,Cuba,6.0,0.0,Gold Cup,Chicago,United States,True,2015-07-09|Mexico|Cuba|Gold Cup|6.0|0.0|Chicago
38935,2015-07-12,Guatemala,Mexico,0.0,0.0,Gold Cup,Glendale,United States,True,2015-07-12|Guatemala|Mexico|Gold Cup|0.0|0.0|Glendale
38942,2015-07-15,Trinidad and Tobago,Mexico,4.0,4.0,Gold Cup,Charlotte,United States,True,2015-07-15|Trinidad and Tobago|Mexico|Gold Cup|4.0|4.0|Charlotte
38945,2015-07-19,Mexico,Costa Rica,1.0,0.0,Gold Cup,East Rutherford,United States,True,2015-07-19|Mexico|Costa Rica|Gold Cup|1.0|0.0|East Rutherford
38947,2015-07-22,Panama,Mexico,1.0,2.0,Gold Cup,Atlanta,United States,True,2015-07-22|Panama|Mexico|Gold Cup|1.0|2.0|Atlanta
38950,2015-07-26,Jamaica,Mexico,1.0,3.0,Gold Cup,Philadelphia,United States,True,2015-07-26|Jamaica|Mexico|Gold Cup|1.0|3.0|Philadelphia
39110,2015-09-08,Mexico,Argentina,2.0,2.0,Friendly,Arlington,United States,True,2015-09-08|Mexico|Argentina|Friendly|2.0|2.0|Arlington
39203,2015-10-10,United States,Mexico,2.0,3.0,Friendly,Pasadena,United States,False,2015-10-10|United States|Mexico|Friendly|2.0|3.0|Pasadena
39340,2015-11-13,Mexico,El Salvador,3.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2015-11-13|Mexico|El Salvador|FIFA World Cup qualification|3.0|0.0|Mexico City
39379,2015-11-17,Honduras,Mexico,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,2015-11-17|Honduras|Mexico|FIFA World Cup qualification|0.0|2.0|San Pedro Sula
39533,2016-03-25,Canada,Mexico,0.0,3.0,FIFA World Cup qualification,Vancouver,Canada,False,2016-03-25|Canada|Mexico|FIFA World Cup qualification|0.0|3.0|Vancouver
39623,2016-03-29,Mexico,Canada,2.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2016-03-29|Mexico|Canada|FIFA World Cup qualification|2.0|0.0|Mexico City
39683,2016-05-28,Mexico,Paraguay,1.0,0.0,Friendly,Atlanta,United States,True,2016-05-28|Mexico|Paraguay|Friendly|1.0|0.0|Atlanta
39812,2016-06-05,Mexico,Uruguay,3.0,1.0,Copa América,Glendale,United States,True,2016-06-05|Mexico|Uruguay|Copa América|3.0|1.0|Glendale
39853,2016-06-09,Mexico,Jamaica,2.0,0.0,Copa América,Pasadena,United States,True,2016-06-09|Mexico|Jamaica|Copa América|2.0|0.0|Pasadena
39877,2016-06-13,Mexico,Venezuela,1.0,1.0,Copa América,Houston,United States,True,2016-06-13|Mexico|Venezuela|Copa América|1.0|1.0|Houston
39905,2016-06-18,Mexico,Chile,0.0,7.0,Copa América,Santa Clara,United States,True,2016-06-18|Mexico|Chile|Copa América|0.0|7.0|Santa Clara
